# Velocity(km/s)  CCF
 -4.0000e+02   1.4566e-02
 -3.9880e+02   1.5454e-02
 -3.9760e+02   1.5373e-02
 -3.9640e+02   1.4326e-02
 -3.9520e+02   1.2500e-02
 -3.9399e+02   1.0211e-02
 -3.9279e+02   7.8186e-03
 -3.9159e+02   5.6333e-03
 -3.9039e+02   3.8654e-03
 -3.8919e+02   2.6213e-03
 -3.8799e+02   1.9461e-03
 -3.8679e+02   1.8781e-03
 -3.8559e+02   2.4818e-03
 -3.8438e+02   3.8374e-03
 -3.8318e+02   5.9914e-03
 -3.8198e+02   8.8920e-03
 -3.8078e+02   1.2345e-02
 -3.7958e+02   1.6014e-02
 -3.7838e+02   1.9465e-02
 -3.7718e+02   2.2241e-02
 -3.7598e+02   2.3936e-02
 -3.7477e+02   2.4243e-02
 -3.7357e+02   2.2975e-02
 -3.7237e+02   2.0060e-02
 -3.7117e+02   1.5545e-02
 -3.6997e+02   9.5996e-03
 -3.6877e+02   2.5467e-03
 -3.6757e+02  -5.1348e-03
 -3.6637e+02  -1.2836e-02
 -3.6517e+02  -1.9901e-02
 -3.6396e+02  -2.5741e-02
 -3.6276e+02  -2.9960e-02
 -3.6156e+02  -3.2417e-02
 -3.6036e+02  -3.3229e-02
 -3.5916e+02  -3.2704e-02
 -3.5796e+02  -3.1232e-02
 -3.5676e+02  -2.9193e-02
 -3.5556e+02  -2.6893e-02
 -3.5435e+02  -2.4532e-02
 -3.5315e+02  -2.2188e-02
 -3.5195e+02  -1.9820e-02
 -3.5075e+02  -1.7276e-02
 -3.4955e+02  -1.4324e-02
 -3.4835e+02  -1.0723e-02
 -3.4715e+02  -6.3125e-03
 -3.4595e+02  -1.0922e-03
 -3.4474e+02   4.7342e-03
 -3.4354e+02   1.0784e-02
 -3.4234e+02   1.6574e-02
 -3.4114e+02   2.1627e-02
 -3.3994e+02   2.5556e-02
 -3.3874e+02   2.8109e-02
 -3.3754e+02   2.9156e-02
 -3.3634e+02   2.8662e-02
 -3.3514e+02   2.6666e-02
 -3.3393e+02   2.3288e-02
 -3.3273e+02   1.8774e-02
 -3.3153e+02   1.3518e-02
 -3.3033e+02   8.0417e-03
 -3.2913e+02   2.8938e-03
 -3.2793e+02  -1.5027e-03
 -3.2673e+02  -4.9930e-03
 -3.2553e+02  -7.7508e-03
 -3.2432e+02  -1.0213e-02
 -3.2312e+02  -1.2901e-02
 -3.2192e+02  -1.6195e-02
 -3.2072e+02  -2.0155e-02
 -3.1952e+02  -2.4465e-02
 -3.1832e+02  -2.8521e-02
 -3.1712e+02  -3.1631e-02
 -3.1592e+02  -3.3245e-02
 -3.1471e+02  -3.3121e-02
 -3.1351e+02  -3.1392e-02
 -3.1231e+02  -2.8499e-02
 -3.1111e+02  -2.5069e-02
 -3.0991e+02  -2.1771e-02
 -3.0871e+02  -1.9212e-02
 -3.0751e+02  -1.7881e-02
 -3.0631e+02  -1.8123e-02
 -3.0511e+02  -2.0133e-02
 -3.0390e+02  -2.3930e-02
 -3.0270e+02  -2.9340e-02
 -3.0150e+02  -3.5990e-02
 -3.0030e+02  -4.3322e-02
 -2.9910e+02  -5.0650e-02
 -2.9790e+02  -5.7234e-02
 -2.9670e+02  -6.2366e-02
 -2.9550e+02  -6.5464e-02
 -2.9429e+02  -6.6153e-02
 -2.9309e+02  -6.4321e-02
 -2.9189e+02  -6.0124e-02
 -2.9069e+02  -5.3949e-02
 -2.8949e+02  -4.6318e-02
 -2.8829e+02  -3.7778e-02
 -2.8709e+02  -2.8814e-02
 -2.8589e+02  -1.9807e-02
 -2.8468e+02  -1.1060e-02
 -2.8348e+02  -2.8567e-03
 -2.8228e+02   4.4726e-03
 -2.8108e+02   1.0533e-02
 -2.7988e+02   1.4901e-02
 -2.7868e+02   1.7225e-02
 -2.7748e+02   1.7330e-02
 -2.7628e+02   1.5310e-02
 -2.7508e+02   1.1531e-02
 -2.7387e+02   6.5759e-03
 -2.7267e+02   1.1158e-03
 -2.7147e+02  -4.2138e-03
 -2.7027e+02  -8.9078e-03
 -2.6907e+02  -1.2622e-02
 -2.6787e+02  -1.5155e-02
 -2.6667e+02  -1.6401e-02
 -2.6547e+02  -1.6315e-02
 -2.6426e+02  -1.4916e-02
 -2.6306e+02  -1.2305e-02
 -2.6186e+02  -8.7012e-03
 -2.6066e+02  -4.4539e-03
 -2.5946e+02  -1.8451e-05
 -2.5826e+02   4.1107e-03
 -2.5706e+02   7.4946e-03
 -2.5586e+02   9.8465e-03
 -2.5465e+02   1.1104e-02
 -2.5345e+02   1.1455e-02
 -2.5225e+02   1.1315e-02
 -2.5105e+02   1.1249e-02
 -2.4985e+02   1.1862e-02
 -2.4865e+02   1.3674e-02
 -2.4745e+02   1.6993e-02
 -2.4625e+02   2.1822e-02
 -2.4505e+02   2.7821e-02
 -2.4384e+02   3.4329e-02
 -2.4264e+02   4.0478e-02
 -2.4144e+02   4.5349e-02
 -2.4024e+02   4.8151e-02
 -2.3904e+02   4.8370e-02
 -2.3784e+02   4.5833e-02
 -2.3664e+02   4.0691e-02
 -2.3544e+02   3.3330e-02
 -2.3423e+02   2.4259e-02
 -2.3303e+02   1.4016e-02
 -2.3183e+02   3.1298e-03
 -2.3063e+02  -7.8679e-03
 -2.2943e+02  -1.8399e-02
 -2.2823e+02  -2.7805e-02
 -2.2703e+02  -3.5370e-02
 -2.2583e+02  -4.0398e-02
 -2.2462e+02  -4.2368e-02
 -2.2342e+02  -4.1099e-02
 -2.2222e+02  -3.6877e-02
 -2.2102e+02  -3.0482e-02
 -2.1982e+02  -2.3072e-02
 -2.1862e+02  -1.5941e-02
 -2.1742e+02  -1.0213e-02
 -2.1622e+02  -6.5682e-03
 -2.1502e+02  -5.1086e-03
 -2.1381e+02  -5.3968e-03
 -2.1261e+02  -6.6612e-03
 -2.1141e+02  -8.0758e-03
 -2.1021e+02  -9.0079e-03
 -2.0901e+02  -9.1471e-03
 -2.0781e+02  -8.4877e-03
 -2.0661e+02  -7.2045e-03
 -2.0541e+02  -5.4997e-03
 -2.0420e+02  -3.5018e-03
 -2.0300e+02  -1.2578e-03
 -2.0180e+02   1.1916e-03
 -2.0060e+02   3.7088e-03
 -1.9940e+02   5.9979e-03
 -1.9820e+02   7.6349e-03
 -1.9700e+02   8.1945e-03
 -1.9580e+02   7.4287e-03
 -1.9459e+02   5.4215e-03
 -1.9339e+02   2.6490e-03
 -1.9219e+02  -9.6800e-05
 -1.9099e+02  -1.9042e-03
 -1.8979e+02  -1.9984e-03
 -1.8859e+02   2.6804e-05
 -1.8739e+02   4.0792e-03
 -1.8619e+02   9.5787e-03
 -1.8498e+02   1.5599e-02
 -1.8378e+02   2.1089e-02
 -1.8258e+02   2.5104e-02
 -1.8138e+02   2.6983e-02
 -1.8018e+02   2.6441e-02
 -1.7898e+02   2.3581e-02
 -1.7778e+02   1.8842e-02
 -1.7658e+02   1.2921e-02
 -1.7538e+02   6.6891e-03
 -1.7417e+02   1.0906e-03
 -1.7297e+02  -2.9641e-03
 -1.7177e+02  -4.7303e-03
 -1.7057e+02  -3.7693e-03
 -1.6937e+02  -6.8231e-05
 -1.6817e+02   5.9021e-03
 -1.6697e+02   1.3227e-02
 -1.6577e+02   2.0701e-02
 -1.6456e+02   2.7061e-02
 -1.6336e+02   3.1259e-02
 -1.6216e+02   3.2685e-02
 -1.6096e+02   3.1293e-02
 -1.5976e+02   2.7588e-02
 -1.5856e+02   2.2499e-02
 -1.5736e+02   1.7171e-02
 -1.5616e+02   1.2727e-02
 -1.5495e+02   1.0055e-02
 -1.5375e+02   9.6636e-03
 -1.5255e+02   1.1612e-02
 -1.5135e+02   1.5546e-02
 -1.5015e+02   2.0815e-02
 -1.4895e+02   2.6653e-02
 -1.4775e+02   3.2370e-02
 -1.4655e+02   3.7500e-02
 -1.4535e+02   4.1856e-02
 -1.4414e+02   4.5470e-02
 -1.4294e+02   4.8453e-02
 -1.4174e+02   5.0829e-02
 -1.4054e+02   5.2424e-02
 -1.3934e+02   5.2873e-02
 -1.3814e+02   5.1734e-02
 -1.3694e+02   4.8675e-02
 -1.3574e+02   4.3645e-02
 -1.3453e+02   3.6958e-02
 -1.3333e+02   2.9246e-02
 -1.3213e+02   2.1308e-02
 -1.3093e+02   1.3914e-02
 -1.2973e+02   7.6426e-03
 -1.2853e+02   2.8133e-03
 -1.2733e+02  -4.8451e-04
 -1.2613e+02  -2.2943e-03
 -1.2492e+02  -2.6907e-03
 -1.2372e+02  -1.7271e-03
 -1.2252e+02   5.5060e-04
 -1.2132e+02   4.0432e-03
 -1.2012e+02   8.5387e-03
 -1.1892e+02   1.3695e-02
 -1.1772e+02   1.9079e-02
 -1.1652e+02   2.4237e-02
 -1.1532e+02   2.8766e-02
 -1.1411e+02   3.2345e-02
 -1.1291e+02   3.4733e-02
 -1.1171e+02   3.5757e-02
 -1.1051e+02   3.5311e-02
 -1.0931e+02   3.3389e-02
 -1.0811e+02   3.0115e-02
 -1.0691e+02   2.5771e-02
 -1.0571e+02   2.0764e-02
 -1.0450e+02   1.5566e-02
 -1.0330e+02   1.0646e-02
 -1.0210e+02   6.4194e-03
 -1.0090e+02   3.2402e-03
 -9.9700e+01   1.4160e-03
 -9.8498e+01   1.2198e-03
 -9.7297e+01   2.8670e-03
 -9.6096e+01   6.4475e-03
 -9.4895e+01   1.1831e-02
 -9.3694e+01   1.8580e-02
 -9.2492e+01   2.5923e-02
 -9.1291e+01   3.2808e-02
 -9.0090e+01   3.8062e-02
 -8.8889e+01   4.0607e-02
 -8.7688e+01   3.9704e-02
 -8.6486e+01   3.5126e-02
 -8.5285e+01   2.7227e-02
 -8.4084e+01   1.6870e-02
 -8.2883e+01   5.2436e-03
 -8.1682e+01  -6.3703e-03
 -8.0480e+01  -1.6819e-02
 -7.9279e+01  -2.5227e-02
 -7.8078e+01  -3.1055e-02
 -7.6877e+01  -3.4087e-02
 -7.5676e+01  -3.4366e-02
 -7.4474e+01  -3.2105e-02
 -7.3273e+01  -2.7599e-02
 -7.2072e+01  -2.1114e-02
 -7.0871e+01  -1.2782e-02
 -6.9670e+01  -2.5040e-03
 -6.8468e+01   1.0096e-02
 -6.7267e+01   2.5639e-02
 -6.6066e+01   4.4871e-02
 -6.4865e+01   6.8489e-02
 -6.3664e+01   9.6968e-02
 -6.2462e+01   1.3044e-01
 -6.1261e+01   1.6869e-01
 -6.0060e+01   2.1123e-01
 -5.8859e+01   2.5743e-01
 -5.7658e+01   3.0664e-01
 -5.6456e+01   3.5830e-01
 -5.5255e+01   4.1194e-01
 -5.4054e+01   4.6712e-01
 -5.2853e+01   5.2340e-01
 -5.1652e+01   5.8024e-01
 -5.0450e+01   6.3700e-01
 -4.9249e+01   6.9294e-01
 -4.8048e+01   7.4718e-01
 -4.6847e+01   7.9881e-01
 -4.5646e+01   8.4682e-01
 -4.4444e+01   8.9017e-01
 -4.3243e+01   9.2776e-01
 -4.2042e+01   9.5850e-01
 -4.0841e+01   9.8134e-01
 -3.9640e+01   9.9538e-01
 -3.8438e+01   1.0000e+00
 -3.7237e+01   9.9500e-01
 -3.6036e+01   9.8071e-01
 -3.4835e+01   9.5804e-01
 -3.3634e+01   9.2846e-01
 -3.2432e+01   8.9394e-01
 -3.1231e+01   8.5673e-01
 -3.0030e+01   8.1918e-01
 -2.8829e+01   7.8349e-01
 -2.7628e+01   7.5153e-01
 -2.6426e+01   7.2464e-01
 -2.5225e+01   7.0369e-01
 -2.4024e+01   6.8901e-01
 -2.2823e+01   6.8059e-01
 -2.1622e+01   6.7814e-01
 -2.0420e+01   6.8111e-01
 -1.9219e+01   6.8877e-01
 -1.8018e+01   7.0006e-01
 -1.6817e+01   7.1363e-01
 -1.5616e+01   7.2783e-01
 -1.4414e+01   7.4082e-01
 -1.3213e+01   7.5077e-01
 -1.2012e+01   7.5608e-01
 -1.0811e+01   7.5555e-01
 -9.6096e+00   7.4854e-01
 -8.4084e+00   7.3494e-01
 -7.2072e+00   7.1511e-01
 -6.0060e+00   6.8970e-01
 -4.8048e+00   6.5951e-01
 -3.6036e+00   6.2527e-01
 -2.4024e+00   5.8765e-01
 -1.2012e+00   5.4722e-01
  0.0000e+00   5.0457e-01
  1.2012e+00   4.6039e-01
  2.4024e+00   4.1550e-01
  3.6036e+00   3.7082e-01
  4.8048e+00   3.2724e-01
  6.0060e+00   2.8551e-01
  7.2072e+00   2.4616e-01
  8.4084e+00   2.0944e-01
  9.6096e+00   1.7541e-01
  1.0811e+01   1.4399e-01
  1.2012e+01   1.1513e-01
  1.3213e+01   8.8847e-02
  1.4414e+01   6.5321e-02
  1.5616e+01   4.4856e-02
  1.6817e+01   2.7793e-02
  1.8018e+01   1.4375e-02
  1.9219e+01   4.6056e-03
  2.0420e+01  -1.8514e-03
  2.1622e+01  -5.6742e-03
  2.2823e+01  -7.7872e-03
  2.4024e+01  -9.1837e-03
  2.5225e+01  -1.0727e-02
  2.6426e+01  -1.2992e-02
  2.7628e+01  -1.6193e-02
  2.8829e+01  -2.0206e-02
  3.0030e+01  -2.4662e-02
  3.1231e+01  -2.9080e-02
  3.2432e+01  -3.2980e-02
  3.3634e+01  -3.5973e-02
  3.4835e+01  -3.7784e-02
  3.6036e+01  -3.8247e-02
  3.7237e+01  -3.7247e-02
  3.8438e+01  -3.4652e-02
  3.9640e+01  -3.0260e-02
  4.0841e+01  -2.3773e-02
  4.2042e+01  -1.4830e-02
  4.3243e+01  -3.0889e-03
  4.4444e+01   1.1677e-02
  4.5646e+01   2.9495e-02
  4.6847e+01   5.0165e-02
  4.8048e+01   7.3278e-02
  4.9249e+01   9.8285e-02
  5.0450e+01   1.2457e-01
  5.1652e+01   1.5148e-01
  5.2853e+01   1.7843e-01
  5.4054e+01   2.0483e-01
  5.5255e+01   2.3022e-01
  5.6456e+01   2.5429e-01
  5.7658e+01   2.7694e-01
  5.8859e+01   2.9837e-01
  6.0060e+01   3.1899e-01
  6.1261e+01   3.3939e-01
  6.2462e+01   3.6020e-01
  6.3664e+01   3.8194e-01
  6.4865e+01   4.0493e-01
  6.6066e+01   4.2917e-01
  6.7267e+01   4.5443e-01
  6.8468e+01   4.8021e-01
  6.9670e+01   5.0593e-01
  7.0871e+01   5.3098e-01
  7.2072e+01   5.5485e-01
  7.3273e+01   5.7712e-01
