# Velocity(km/s)  CCF
  2.6233e+02   3.8649e-02
  2.6605e+02   4.8752e-02
  2.6977e+02   5.8366e-02
  2.7349e+02   6.6554e-02
  2.7721e+02   7.2439e-02
  2.8093e+02   7.5300e-02
  2.8465e+02   7.4697e-02
  2.8837e+02   7.0616e-02
  2.9209e+02   6.3562e-02
  2.9581e+02   5.4542e-02
  2.9953e+02   4.4903e-02
  3.0326e+02   3.6033e-02
  3.0698e+02   2.9012e-02
  3.1070e+02   2.4339e-02
  3.1442e+02   2.1842e-02
  3.1814e+02   2.0805e-02
  3.2186e+02   2.0265e-02
  3.2558e+02   1.9353e-02
  3.2930e+02   1.7543e-02
  3.3302e+02   1.4723e-02
  3.3674e+02   1.1072e-02
  3.4047e+02   6.8415e-03
  3.4419e+02   2.1495e-03
  3.4791e+02  -3.0924e-03
  3.5163e+02  -9.0799e-03
  3.5535e+02  -1.5891e-02
  3.5907e+02  -2.3255e-02
  3.6279e+02  -3.0458e-02
  3.6651e+02  -3.6448e-02
  3.7023e+02  -4.0132e-02
  3.7395e+02  -4.0735e-02
  3.7767e+02  -3.8069e-02
  3.8140e+02  -3.2596e-02
  3.8512e+02  -2.5282e-02
  3.8884e+02  -1.7301e-02
  3.9256e+02  -9.7431e-03
  3.9628e+02  -3.3974e-03
  4.0000e+02   1.3237e-03
