# Velocity(km/s)  CCF
 -4.0000e+02  -1.4418e-02
 -3.9628e+02  -1.9339e-02
 -3.9256e+02  -2.3048e-02
 -3.8884e+02  -2.4330e-02
 -3.8512e+02  -2.2223e-02
 -3.8140e+02  -1.6318e-02
 -3.7767e+02  -6.9447e-03
 -3.7395e+02   4.8446e-03
 -3.7023e+02   1.7486e-02
 -3.6651e+02   2.9250e-02
 -3.6279e+02   3.8618e-02
 -3.5907e+02   4.4577e-02
 -3.5535e+02   4.6760e-02
 -3.5163e+02   4.5393e-02
 -3.4791e+02   4.1101e-02
 -3.4419e+02   3.4650e-02
 -3.4047e+02   2.6721e-02
 -3.3674e+02   1.7808e-02
 -3.3302e+02   8.2527e-03
 -3.2930e+02  -1.6231e-03
 -3.2558e+02  -1.1378e-02
 -3.2186e+02  -2.0394e-02
 -3.1814e+02  -2.7958e-02
 -3.1442e+02  -3.3439e-02
 -3.1070e+02  -3.6513e-02
 -3.0698e+02  -3.7302e-02
 -3.0326e+02  -3.6384e-02
 -2.9953e+02  -3.4633e-02
 -2.9581e+02  -3.2967e-02
 -2.9209e+02  -3.2087e-02
 -2.8837e+02  -3.2292e-02
 -2.8465e+02  -3.3414e-02
 -2.8093e+02  -3.4880e-02
 -2.7721e+02  -3.5865e-02
 -2.7349e+02  -3.5491e-02
 -2.6977e+02  -3.3044e-02
 -2.6605e+02  -2.8161e-02
 -2.6233e+02  -2.0976e-02
 -2.5860e+02  -1.2159e-02
 -2.5488e+02  -2.8283e-03
 -2.5116e+02   5.6746e-03
 -2.4744e+02   1.2096e-02
 -2.4372e+02   1.5590e-02
 -2.4000e+02   1.5946e-02
 -2.3628e+02   1.3649e-02
 -2.3256e+02   9.7486e-03
 -2.2884e+02   5.5937e-03
 -2.2512e+02   2.4969e-03
 -2.2140e+02   1.4333e-03
 -2.1767e+02   2.8406e-03
 -2.1395e+02   6.5603e-03
 -2.1023e+02   1.1916e-02
 -2.0651e+02   1.7897e-02
 -2.0279e+02   2.3396e-02
 -1.9907e+02   2.7450e-02
 -1.9535e+02   2.9426e-02
 -1.9163e+02   2.9136e-02
 -1.8791e+02   2.6834e-02
 -1.8419e+02   2.3115e-02
 -1.8047e+02   1.8731e-02
 -1.7674e+02   1.4380e-02
 -1.7302e+02   1.0536e-02
 -1.6930e+02   7.3666e-03
 -1.6558e+02   4.7773e-03
 -1.6186e+02   2.5529e-03
 -1.5814e+02   5.4991e-04
 -1.5442e+02  -1.1356e-03
 -1.5070e+02  -2.0907e-03
 -1.4698e+02  -1.6419e-03
 -1.4326e+02   9.5556e-04
 -1.3953e+02   6.2442e-03
 -1.3581e+02   1.4291e-02
 -1.3209e+02   2.4517e-02
 -1.2837e+02   3.5700e-02
 -1.2465e+02   4.6177e-02
 -1.2093e+02   5.4200e-02
 -1.1721e+02   5.8346e-02
 -1.1349e+02   5.7871e-02
 -1.0977e+02   5.2915e-02
 -1.0605e+02   4.4519e-02
 -1.0233e+02   3.4467e-02
 -9.8605e+01   2.5014e-02
