# Velocity(km/s)  CCF
 -7.2381e+01   1.2676e-02
 -7.0476e+01   2.5566e-02
 -6.8571e+01   4.4369e-02
 -6.6667e+01   6.9957e-02
 -6.4762e+01   1.0322e-01
 -6.2857e+01   1.4506e-01
 -6.0952e+01   1.9633e-01
 -5.9048e+01   2.5766e-01
 -5.7143e+01   3.2916e-01
 -5.5238e+01   4.1006e-01
 -5.3333e+01   4.9845e-01
 -5.1429e+01   5.9114e-01
 -4.9524e+01   6.8378e-01
 -4.7619e+01   7.7140e-01
 -4.5714e+01   8.4905e-01
 -4.3810e+01   9.1256e-01
 -4.1905e+01   9.5921e-01
 -4.0000e+01   9.8807e-01
 -3.8095e+01   1.0000e+00
 -3.6190e+01   9.9730e-01
 -3.4286e+01   9.8324e-01
 -3.2381e+01   9.6145e-01
 -3.0476e+01   9.3542e-01
 -2.8571e+01   9.0814e-01
 -2.6667e+01   8.8185e-01
 -2.4762e+01   8.5795e-01
 -2.2857e+01   8.3691e-01
 -2.0952e+01   8.1845e-01
 -1.9048e+01   8.0164e-01
 -1.7143e+01   7.8516e-01
 -1.5238e+01   7.6754e-01
 -1.3333e+01   7.4739e-01
 -1.1429e+01   7.2347e-01
 -9.5238e+00   6.9478e-01
 -7.6190e+00   6.6058e-01
 -5.7143e+00   6.2045e-01
 -3.8095e+00   5.7439e-01
 -1.9048e+00   5.2294e-01
  0.0000e+00   4.6723e-01
  1.9048e+00   4.0901e-01
  3.8095e+00   3.5042e-01
  5.7143e+00   2.9377e-01
  7.6190e+00   2.4123e-01
  9.5238e+00   1.9454e-01
  1.1429e+01   1.5490e-01
  1.3333e+01   1.2294e-01
  1.5238e+01   9.8770e-02
  1.7143e+01   8.2098e-02
  1.9048e+01   7.2281e-02
  2.0952e+01   6.8373e-02
  2.2857e+01   6.9143e-02
  2.4762e+01   7.3120e-02
  2.6667e+01   7.8696e-02
  2.8571e+01   8.4293e-02
  3.0476e+01   8.8566e-02
  3.2381e+01   9.0606e-02
  3.4286e+01   9.0087e-02
  3.6190e+01   8.7320e-02
  3.8095e+01   8.3216e-02
  4.0000e+01   7.9153e-02
  4.1905e+01   7.6777e-02
  4.3810e+01   7.7757e-02
  4.5714e+01   8.3553e-02
  4.7619e+01   9.5226e-02
  4.9524e+01   1.1334e-01
  5.1429e+01   1.3795e-01
  5.3333e+01   1.6872e-01
  5.5238e+01   2.0501e-01
  5.7143e+01   2.4601e-01
  5.9048e+01   2.9077e-01
  6.0952e+01   3.3821e-01
  6.2857e+01   3.8707e-01
  6.4762e+01   4.3590e-01
  6.6667e+01   4.8313e-01
  6.8571e+01   5.2720e-01
  7.0476e+01   5.6665e-01
  7.2381e+01   6.0032e-01
  7.4286e+01   6.2733e-01
  7.6190e+01   6.4703e-01
  7.8095e+01   6.5895e-01
  8.0000e+01   6.6266e-01
  8.1905e+01   6.5778e-01
  8.3810e+01   6.4403e-01
  8.5714e+01   6.2136e-01
  8.7619e+01   5.9013e-01
  8.9524e+01   5.5116e-01
  9.1429e+01   5.0585e-01
  9.3333e+01   4.5606e-01
  9.5238e+01   4.0400e-01
  9.7143e+01   3.5201e-01
  9.9048e+01   3.0233e-01
  1.0095e+02   2.5685e-01
  1.0286e+02   2.1692e-01
  1.0476e+02   1.8320e-01
  1.0667e+02   1.5557e-01
  1.0857e+02   1.3319e-01
  1.1048e+02   1.1461e-01
  1.1238e+02   9.8101e-02
  1.1429e+02   8.2076e-02
  1.1619e+02   6.5474e-02
  1.1810e+02   4.8045e-02
  1.2000e+02   3.0390e-02
  1.2190e+02   1.3760e-02
  1.2381e+02  -3.3806e-04
  1.2571e+02  -1.0573e-02
  1.2762e+02  -1.6159e-02
  1.2952e+02  -1.7046e-02
  1.3143e+02  -1.3920e-02
  1.3333e+02  -8.0246e-03
  1.3524e+02  -8.6422e-04
  1.3714e+02   6.1028e-03
  1.3905e+02   1.1715e-02
  1.4095e+02   1.5237e-02
  1.4286e+02   1.6360e-02
  1.4476e+02   1.5120e-02
  1.4667e+02   1.1776e-02
  1.4857e+02   6.7227e-03
  1.5048e+02   4.3697e-04
  1.5238e+02  -6.5355e-03
  1.5429e+02  -1.3588e-02
  1.5619e+02  -2.0080e-02
  1.5810e+02  -2.5400e-02
  1.6000e+02  -2.9067e-02
  1.6190e+02  -3.0839e-02
  1.6381e+02  -3.0789e-02
  1.6571e+02  -2.9315e-02
  1.6762e+02  -2.7048e-02
  1.6952e+02  -2.4709e-02
  1.7143e+02  -2.2935e-02
  1.7333e+02  -2.2174e-02
  1.7524e+02  -2.2659e-02
  1.7714e+02  -2.4453e-02
  1.7905e+02  -2.7531e-02
  1.8095e+02  -3.1833e-02
  1.8286e+02  -3.7253e-02
  1.8476e+02  -4.3563e-02
  1.8667e+02  -5.0317e-02
  1.8857e+02  -5.6777e-02
  1.9048e+02  -6.1913e-02
  1.9238e+02  -6.4506e-02
  1.9429e+02  -6.3356e-02
  1.9619e+02  -5.7553e-02
  1.9810e+02  -4.6736e-02
  2.0000e+02  -3.1281e-02
  2.0190e+02  -1.2317e-02
  2.0381e+02   8.4205e-03
  2.0571e+02   2.8889e-02
  2.0762e+02   4.7101e-02
  2.0952e+02   6.1441e-02
  2.1143e+02   7.0875e-02
  2.1333e+02   7.5005e-02
  2.1524e+02   7.4012e-02
  2.1714e+02   6.8510e-02
  2.1905e+02   5.9382e-02
  2.2095e+02   4.7626e-02
