# x f gf ggf gggf
    36.036  5.980e-05  3.557e-03  1.093e-03 -7.693e-05
    37.237  7.366e-03  4.804e-03  9.665e-04 -1.337e-04
    38.438  1.774e-02  5.864e-03  7.819e-04 -1.733e-04
    39.640  3.037e-02  6.679e-03  5.645e-04 -1.881e-04
    40.841  4.410e-02  7.230e-03  3.469e-04 -1.743e-04
    42.042  5.770e-02  7.537e-03  1.633e-04 -1.327e-04
    43.243  7.001e-02  7.660e-03  4.405e-05 -6.919e-05
    44.444  8.028e-02  7.690e-03  9.841e-06  6.347e-06
    45.646  8.823e-02  7.734e-03  6.803e-05  8.182e-05
    46.847  9.418e-02  7.902e-03  2.111e-04  1.450e-04
    48.048  9.892e-02  8.282e-03  4.180e-04  1.859e-04
    49.249  1.036e-01  8.935e-03  6.579e-04  1.984e-04
    50.450  1.095e-01  9.878e-03  8.954e-04  1.815e-04
    51.652  1.177e-01  1.109e-02  1.097e-03  1.394e-04
    52.853  1.293e-01  1.251e-02  1.238e-03  8.000e-05
    54.054  1.447e-01  1.405e-02  1.302e-03  1.399e-05
    55.255  1.638e-01  1.562e-02  1.289e-03 -4.804e-05
    56.456  1.864e-01  1.714e-02  1.209e-03 -9.746e-05
    57.658  2.116e-01  1.853e-02  1.079e-03 -1.294e-04
    58.859  2.384e-01  1.974e-02  9.222e-04 -1.435e-04
    60.060  2.658e-01  2.076e-02  7.567e-04 -1.440e-04
    61.261  2.934e-01  2.159e-02  5.951e-04 -1.380e-04
    62.462  3.206e-01  2.222e-02  4.401e-04 -1.340e-04
    63.664  3.476e-01  2.267e-02  2.845e-04 -1.393e-04
    64.865  3.749e-01  2.292e-02  1.144e-04 -1.581e-04
    66.066  4.029e-01  2.295e-02 -8.696e-05 -1.902e-04
    67.267  4.322e-01  2.271e-02 -3.330e-04 -2.309e-04
    68.468  4.627e-01  2.215e-02 -6.294e-04 -2.719e-04
    69.670  4.941e-01  2.120e-02 -9.708e-04 -3.037e-04
    70.871  5.254e-01  1.983e-02 -1.341e-03 -3.172e-04
    72.072  5.552e-01  1.800e-02 -1.713e-03 -3.067e-04
    73.273  5.821e-01  1.574e-02 -2.058e-03 -2.710e-04
    74.474  6.047e-01  1.310e-02 -2.347e-03 -2.133e-04
    75.676  6.218e-01  1.016e-02 -2.558e-03 -1.409e-04
    76.877  6.331e-01  7.011e-03 -2.678e-03 -6.341e-05
    78.078  6.385e-01  3.777e-03 -2.708e-03  1.001e-05
    79.279  6.386e-01  5.571e-04 -2.656e-03  7.200e-05
    80.480  6.342e-01 -2.560e-03 -2.540e-03  1.185e-04
    81.682  6.261e-01 -5.509e-03 -2.379e-03  1.492e-04
    82.883  6.149e-01 -8.245e-03 -2.189e-03  1.664e-04
    84.084  6.012e-01 -1.074e-02 -1.986e-03  1.743e-04
    85.285  5.850e-01 -1.300e-02 -1.778e-03  1.769e-04
    86.486  5.664e-01 -1.500e-02 -1.569e-03  1.772e-04
    87.688  5.454e-01 -1.675e-02 -1.361e-03  1.763e-04
    88.889  5.219e-01 -1.825e-02 -1.155e-03  1.738e-04
    90.090  4.963e-01 -1.950e-02 -9.549e-04  1.685e-04
    91.291  4.691e-01 -2.053e-02 -7.638e-04  1.595e-04
    92.492  4.410e-01 -2.132e-02 -5.860e-04  1.474e-04
    93.694  4.127e-01 -2.192e-02 -4.241e-04  1.343e-04
    94.895  3.846e-01 -2.233e-02 -2.773e-04  1.234e-04
    96.096  3.570e-01 -2.257e-02 -1.408e-04  1.183e-04
    97.297  3.296e-01 -2.264e-02 -5.590e-06  1.215e-04
    98.498  3.022e-01 -2.255e-02  1.387e-04  1.334e-04
    99.700  2.743e-01 -2.228e-02  3.013e-04  1.516e-04
   100.900  2.457e-01 -2.180e-02  4.874e-04  1.714e-04
   102.100  2.168e-01 -2.108e-02  6.953e-04  1.868e-04
   103.300  1.880e-01 -2.010e-02  9.163e-04  1.920e-04
   104.500  1.603e-01 -1.886e-02  1.135e-03  1.827e-04
   105.710  1.346e-01 -1.736e-02  1.334e-03  1.571e-04
   106.910  1.117e-01 -1.565e-02  1.492e-03  1.163e-04
   108.110  9.234e-02 -1.378e-02  1.595e-03  6.414e-05
   109.310  7.662e-02 -1.183e-02  1.631e-03  6.290e-06
   110.510  6.446e-02 -9.871e-03  1.597e-03 -5.079e-05
   111.710  5.557e-02 -7.997e-03  1.500e-03 -1.009e-04
   112.910  4.955e-02 -6.274e-03  1.349e-03 -1.390e-04
   114.110  4.607e-02 -4.756e-03  1.162e-03 -1.619e-04
