# x f gf ggf gggf
   -70.871  2.633e-03  7.196e-03  1.786e-03  2.194e-04
   -69.670  1.048e-02  9.512e-03  2.035e-03  1.714e-04
   -68.468  2.270e-02  1.209e-02  2.223e-03  1.149e-04
   -67.267  3.916e-02  1.486e-02  2.345e-03  6.188e-05
   -66.066  5.953e-02  1.774e-02  2.411e-03  2.082e-05
   -64.865  8.340e-02  2.068e-02  2.439e-03 -5.389e-06
   -63.664  1.104e-01  2.364e-02  2.445e-03 -2.005e-05
   -62.462  1.405e-01  2.660e-02  2.437e-03 -3.077e-05
   -61.261  1.736e-01  2.954e-02  2.415e-03 -4.659e-05
   -60.060  2.102e-01  3.245e-02  2.369e-03 -7.512e-05
   -58.859  2.506e-01  3.527e-02  2.279e-03 -1.206e-04
   -57.658  2.951e-01  3.795e-02  2.124e-03 -1.833e-04
   -56.456  3.439e-01  4.040e-02  1.886e-03 -2.599e-04
   -55.255  3.969e-01  4.250e-02  1.549e-03 -3.449e-04
   -54.054  4.535e-01  4.414e-02  1.108e-03 -4.321e-04
   -52.853  5.128e-01  4.518e-02  5.630e-04 -5.157e-04
   -51.652  5.739e-01  4.551e-02 -7.878e-05 -5.907e-04
   -50.450  6.356e-01  4.501e-02 -8.046e-04 -6.526e-04
   -49.249  6.967e-01  4.360e-02 -1.596e-03 -6.967e-04
   -48.048  7.562e-01  4.121e-02 -2.429e-03 -7.169e-04
   -46.847  8.127e-01  3.782e-02 -3.269e-03 -7.062e-04
   -45.646  8.648e-01  3.342e-02 -4.076e-03 -6.566e-04
   -44.444  9.108e-01  2.811e-02 -4.798e-03 -5.621e-04
   -43.243  9.490e-01  2.201e-02 -5.379e-03 -4.200e-04
   -42.042  9.775e-01  1.532e-02 -5.764e-03 -2.339e-04
   -40.841  9.948e-01  8.311e-03 -5.906e-03 -1.450e-05
   -39.640  1.000e+00  1.298e-03 -5.773e-03  2.207e-04
   -38.438  9.929e-01 -5.387e-03 -5.361e-03  4.500e-04
   -37.237  9.744e-01 -1.142e-02 -4.690e-03  6.506e-04
   -36.036  9.462e-01 -1.650e-02 -3.806e-03  8.027e-04
   -34.835  9.107e-01 -2.043e-02 -2.777e-03  8.931e-04
   -33.634  8.708e-01 -2.307e-02 -1.681e-03  9.171e-04
   -32.432  8.293e-01 -2.440e-02 -5.957e-04  8.784e-04
   -31.231  7.887e-01 -2.446e-02  4.090e-04  7.872e-04
   -30.030  7.509e-01 -2.338e-02  1.278e-03  6.580e-04
   -28.829  7.173e-01 -2.137e-02  1.976e-03  5.062e-04
   -27.628  6.889e-01 -1.862e-02  2.484e-03  3.451e-04
   -26.426  6.660e-01 -1.538e-02  2.796e-03  1.851e-04
   -25.225  6.490e-01 -1.188e-02  2.919e-03  3.329e-05
   -24.024  6.378e-01 -8.344e-03  2.866e-03 -1.064e-04
   -22.823  6.323e-01 -4.967e-03  2.652e-03 -2.316e-04
   -21.622  6.320e-01 -1.935e-03  2.296e-03 -3.406e-04
   -20.420  6.364e-01  5.927e-04  1.818e-03 -4.318e-04
   -19.219  6.445e-01  2.484e-03  1.243e-03 -5.033e-04
   -18.018  6.553e-01  3.636e-03  5.934e-04 -5.529e-04
   -16.817  6.674e-01  3.974e-03 -1.012e-04 -5.781e-04
   -15.616  6.795e-01  3.465e-03 -8.100e-04 -5.762e-04
   -14.414  6.905e-01  2.110e-03 -1.499e-03 -5.445e-04
   -13.213  6.989e-01 -4.401e-05 -2.131e-03 -4.811e-04
   -12.012  7.036e-01 -2.905e-03 -2.666e-03 -3.854e-04
   -10.811  7.034e-01 -6.335e-03 -3.069e-03 -2.596e-04
    -9.610  6.971e-01 -1.015e-02 -3.305e-03 -1.096e-04
    -8.408  6.837e-01 -1.414e-02 -3.351e-03  5.463e-05
    -7.207  6.629e-01 -1.807e-02 -3.198e-03  2.190e-04
    -6.006  6.348e-01 -2.170e-02 -2.856e-03  3.673e-04
    -4.805  6.001e-01 -2.482e-02 -2.354e-03  4.837e-04
    -3.604  5.604e-01 -2.726e-02 -1.738e-03  5.555e-04
    -2.402  5.174e-01 -2.892e-02 -1.067e-03  5.759e-04
    -1.201  4.733e-01 -2.978e-02 -4.040e-04  5.454e-04
     0.000  4.299e-01 -2.988e-02  1.948e-04  4.715e-04
     1.201  3.888e-01 -2.932e-02  6.844e-04  3.673e-04
     2.402  3.510e-01 -2.825e-02  1.038e-03  2.488e-04
     3.604  3.168e-01 -2.684e-02  1.248e-03  1.322e-04
     4.805  2.861e-01 -2.526e-02  1.325e-03  3.081e-05
